Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
28-Jun-82, 17:15 ,Group 4,Vicente Calderon,Madrid,Spain,Austria,0,1,France, ,France,,,
28-Jun-82, 21:00 ,Group 1,Camp Nou,Barcelona,Spain,Poland,3,0,Belgium, ,Poland,,,
29-Jun-82, 17:15 ,Group 3,Sarria,Barcelona,Spain,Italy,2,1,Argentina, ,Italy,,,
29-Jun-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid,Spain,Germany FR,0,0,England, ,Tie,,,
1-Jul-82, 17:15 ,Group 4,Vicente Calderon,Madrid,Spain,Austria,2,2,Northern Ireland, ,Tie,,,
1-Jul-82, 21:00 ,Group 1,Camp Nou,Barcelona,Spain,Belgium,0,1,Soviet Union, ,Soviet Union,,,
2-Jul-82, 17:15 ,Group 3,Sarria,Barcelona,Spain,Argentina,1,3,Brazil, ,Brazil,,,
2-Jul-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid,Spain,Germany FR,2,1,Spain, ,Germany FR,,,
4-Jul-82, 17:15 ,Group 4,Vicente Calderon,Madrid,Spain,France,4,1,Northern Ireland, ,France,,,
4-Jul-82, 21:00 ,Group 1,Camp Nou,Barcelona,Spain,Poland,0,0,Soviet Union, ,Tie,,,
5-Jul-82, 17:15 ,Group 3,Sarria,Barcelona,Spain,Italy,3,2,Brazil, ,Italy,,,
5-Jul-82, 21:00 ,Group 2,Santiago Bernabeu,Madrid,Spain,Spain,0,0,England, ,Tie,,,
8-Jul-82, 17:15 ,Semi-finals,Camp Nou,Barcelona,Spain,Poland,0,2,Italy, ,Italy,,,
8-Jul-82, 21:00 ,Semi-finals,Ramon Sanchez Pizjuan,Seville,Spain,Germany FR,3,3,France, win on penalties (5 - 4) ,Tie,5,4,Germany FR
10-Jul-82, 20:00 ,Match for third place,Jose Rico Perez,Alicante,Spain,Poland,3,2,France, ,Poland,,,
11-Jul-82, 20:00 ,Final,Santiago Bernabeu,Madrid,Spain,Italy,3,1,Germany FR, ,Italy,,,
31-May-86, 12:00 ,Group A,Estadio Azteca,Mexico City,Mexico,Bulgaria,1,1,Italy, ,Tie,,,
1-Jun-86, 16:00 ,Group C,Nou Camp - Estadio Leon,Leon ,Mexico,Canada,0,1,France, ,France,,,
1-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara,Mexico,Spain,0,1,Brazil, ,Brazil,,,
2-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato,Mexico,Soviet Union,6,0,Hungary, ,Soviet Union,,,
2-Jun-86, 12:00 ,Group A,Estadio Olímpico Universitario,Mexico City,Mexico,Argentina,3,1,Korea Republic, ,Argentina,,,
2-Jun-86, 16:00 ,Group F,Estadio Universitario,Monterrey,Mexico,Morocco,0,0,Poland, ,Tie,,,
3-Jun-86, 12:00 ,Group D,Tres de Marzo,Guadalajara,Mexico,Algeria,1,1,Northern Ireland, ,Tie,,,
3-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City,Mexico,Belgium,1,2,Mexico, ,Mexico,,,
3-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey,Mexico,Portugal,1,0,England, ,Portugal,,,
4-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca,Mexico,Paraguay,1,0,Iraq, ,Paraguay,,,
4-Jun-86, 16:00 ,Group E,Neza,Ciudad Nezahualcóyotl,Mexico,Scotland,0,1,Denmark, ,Denmark,,,
4-Jun-86, 12:00 ,Group E,Estadio Corregidora,Querétaro,Mexico,Uruguay,1,1,Germany FR, ,Tie,,,
5-Jun-86, 12:00 ,Group A,Cuauhtemoc,Puebla,Mexico,Italy,1,1,Argentina, ,Tie,,,
5-Jun-86, 12:00 ,Group C,Nou Camp - Estadio Leon,Leon ,Mexico,France,1,1,Soviet Union, ,Tie,,,
5-Jun-86, 16:00 ,Group A,Estadio Olímpico Universitario,Mexico City,Mexico,Korea Republic,1,1,Bulgaria, ,Tie,,,
6-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato,Mexico,Hungary,2,0,Canada, ,Hungary,,,
6-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara,Mexico,Brazil,1,0,Algeria, ,Brazil,,,
6-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey,Mexico,England,0,0,Morocco, ,Tie,,,
7-Jun-86, 12:00 ,Group D,Tres de Marzo,Guadalajara,Mexico,Northern Ireland,1,2,Spain, ,Spain,,,
7-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City,Mexico,Mexico,1,1,Paraguay, ,Tie,,,
7-Jun-86, 16:00 ,Group F,Estadio Universitario,Monterrey,Mexico,Poland,1,0,Portugal, ,Poland,,,
8-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca,Mexico,Iraq,1,2,Belgium, ,Belgium,,,
8-Jun-86, 16:00 ,Group E,Neza,Ciudad Nezahualcóyotl,Mexico,Denmark,6,1,Uruguay, ,Denmark,,,
8-Jun-86, 12:00 ,Group E,Estadio Corregidora,Querétaro,Mexico,Germany FR,2,1,Scotland, ,Germany FR,,,
9-Jun-86, 12:00 ,Group C,Nou Camp - Estadio Leon,Leon ,Mexico,Hungary,0,3,France, ,France,,,
9-Jun-86, 12:00 ,Group C,Estadio Irapuato,Irapuato,Mexico,Soviet Union,2,0,Canada, ,Soviet Union,,,
10-Jun-86, 12:00 ,Group A,Cuauhtemoc,Puebla,Mexico,Korea Republic,2,3,Italy, ,Italy,,,
10-Jun-86, 12:00 ,Group A,Estadio Olímpico Universitario,Mexico City,Mexico,Argentina,2,0,Bulgaria, ,Argentina,,,
11-Jun-86, 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca,Mexico,Paraguay,2,2,Belgium, ,Tie,,,
11-Jun-86, 12:00 ,Group B,Estadio Azteca,Mexico City,Mexico,Iraq,0,1,Mexico, ,Mexico,,,
11-Jun-86, 16:00 ,Group F,Tres de Marzo,Guadalajara,Mexico,Portugal,1,3,Morocco, ,Morocco,,,
11-Jun-86, 16:00 ,Group F,Tecnologico,Monterrey,Mexico,England,3,0,Poland, ,England,,,
12-Jun-86, 12:00 ,Group D,Jalisco,Guadalajara,Mexico,Northern Ireland,0,3,Brazil, ,Brazil,,,
12-Jun-86, 12:00 ,Group D,Tecnologico,Monterrey,Mexico,Algeria,0,3,Spain, ,Spain,,,
13-Jun-86, 12:00 ,Group E,Neza,Ciudad Nezahualcóyotl,Mexico,Scotland,0,0,Uruguay, ,Tie,,,
13-Jun-86, 12:00 ,Group E,Estadio Corregidora,Querétaro,Mexico,Denmark,2,0,Germany FR, ,Denmark,,,
15-Jun-86, 16:00 ,Round of 16,Nou Camp - Estadio Leon,Leon ,Mexico,Soviet Union,3,4,Belgium,Belgium win after extra time ,Belgium,,,
15-Jun-86, 12:00 ,Round of 16,Estadio Azteca,Mexico City,Mexico,Mexico,2,0,Bulgaria, ,Mexico,,,
16-Jun-86, 16:00 ,Round of 16,Cuauhtemoc,Puebla,Mexico,Argentina,1,0,Uruguay, ,Argentina,,,
16-Jun-86, 12:00 ,Round of 16,Jalisco,Guadalajara,Mexico,Brazil,4,0,Poland, ,Brazil,,,
17-Jun-86, 12:00 ,Round of 16,Estadio Olímpico Universitario,Mexico City,Mexico,Italy,0,2,France, ,France,,,
17-Jun-86, 16:00 ,Round of 16,Estadio Universitario,Monterrey,Mexico,Morocco,0,1,Germany FR, ,Germany FR,,,
18-Jun-86, 12:00 ,Round of 16,Estadio Azteca,Mexico City,Mexico,England,3,0,Paraguay, ,England,,,
18-Jun-86, 16:00 ,Round of 16,Estadio Corregidora,Querétaro,Mexico,Denmark,1,5,Spain, ,Spain,,,
21-Jun-86, 12:00 ,Quarter-finals,Jalisco,Guadalajara,Mexico,Brazil,1,1,France,France win on penalties (3 - 4) ,Tie,3,4,France
21-Jun-86, 16:00 ,Quarter-finals,Estadio Universitario,Monterrey,Mexico,Germany FR,0,0,Mexico,Germany FR win on penalties (4 - 1) ,Tie,4,1,Germany FR
22-Jun-86, 16:00 ,Quarter-finals,Cuauhtemoc,Puebla,Mexico,Spain,1,1,Belgium,Belgium win on penalties (4 - 5) ,Tie,4,5,Belgium
22-Jun-86, 12:00 ,Quarter-finals,Estadio Azteca,Mexico City,Mexico,Argentina,2,1,England, ,Argentina,,,
25-Jun-86, 12:00 ,Semi-finals,Jalisco,Guadalajara,Mexico,France,0,2,Germany FR, ,Germany FR,,,
25-Jun-86, 16:00 ,Semi-finals,Estadio Azteca,Mexico City,Mexico,Argentina,2,0,Belgium, ,Argentina,,,
28-Jun-86, 12:00 ,Match for third place,Cuauhtemoc,Puebla,Mexico,France,4,2,Belgium,France win after extra time ,France,,,
29-Jun-86, 12:00 ,Final,Estadio Azteca,Mexico City,Mexico,Argentina,3,2,Germany FR, ,Argentina,,,
8-Jun-90, 18:00 ,Group B,Giuseppe Meazza,Milan,Italy,Argentina,0,1,Cameroon, ,Cameroon,,,
9-Jun-90, 17:00 ,Group B,Stadio San Nicola,Bari,Italy,Soviet Union,0,2,Romania, ,Romania,,,
9-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna,Italy,United Arab Emirates,0,2,Colombia, ,Colombia,,,
9-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome,Italy,Italy,1,0,Austria, ,Italy,,,
10-Jun-90, 17:00 ,Group A,Comunale,Florence,Italy,USA,1,5,Czechoslovakia, ,Czechoslovakia,,,
10-Jun-90, 21:00 ,Group C,Stadio delle Alpi,Turin,Italy,Brazil,2,1,Sweden, ,Brazil,,,
10-Jun-90, 21:00 ,Group D,Giuseppe Meazza,Milan,Italy,Germany FR,4,1,Yugoslavia, ,Germany FR,,,
11-Jun-90, 17:00 ,Group C,Luigi Ferraris,Genoa,Italy,Costa Rica,1,0,Scotland, ,Costa Rica,,,
11-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari,Italy,England,1,1,Republic of Ireland, ,Tie,,,
12-Jun-90, 17:00 ,Group E,Marc Antonio Bentegodi,Verona,Italy,Belgium,2,0,Korea Republic, ,Belgium,,,
12-Jun-90, 21:00 ,Group F,Della Favorita,Palermo,Italy,Netherlands,1,1,Egypt, ,Tie,,,
13-Jun-90, 17:00 ,Group E,Dacia Arena,Udine,Italy,Uruguay,0,0,Spain, ,Tie,,,
13-Jun-90, 21:00 ,Group B,San Paolo,Naples,Italy,Argentina,2,0,Soviet Union, ,Argentina,,,
14-Jun-90, 17:00 ,Group B,Stadio San Nicola,Bari,Italy,Cameroon,2,1,Romania, ,Cameroon,,,
14-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna,Italy,Yugoslavia,1,0,Colombia, ,Yugoslavia,,,
14-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome,Italy,Italy,1,0,USA, ,Italy,,,
15-Jun-90, 17:00 ,Group A,Comunale,Florence,Italy,Austria,0,1,Czechoslovakia, ,Czechoslovakia,,,
15-Jun-90, 21:00 ,Group D,Giuseppe Meazza,Milan,Italy,Germany FR,5,1,United Arab Emirates, ,Germany FR,,,
16-Jun-90, 17:00 ,Group C,Stadio delle Alpi,Turin,Italy,Brazil,1,0,Costa Rica, ,Brazil,,,
16-Jun-90, 21:00 ,Group C,Luigi Ferraris,Genoa,Italy,Sweden,1,2,Scotland, ,Scotland,,,
16-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari,Italy,England,0,0,Netherlands, ,Tie,,,
17-Jun-90, 17:00 ,Group F,Della Favorita,Palermo,Italy,Republic of Ireland,0,0,Egypt, ,Tie,,,
17-Jun-90, 21:00 ,Group E,Dacia Arena,Udine,Italy,Korea Republic,1,3,Spain, ,Spain,,,
17-Jun-90, 21:00 ,Group E,Marc Antonio Bentegodi,Verona,Italy,Belgium,3,1,Uruguay, ,Belgium,,,
18-Jun-90, 21:00 ,Group B,San Paolo,Naples,Italy,Argentina,1,1,Romania, ,Tie,,,
18-Jun-90, 21:00 ,Group B,Stadio San Nicola,Bari,Italy,Cameroon,0,4,Soviet Union, ,Soviet Union,,,
19-Jun-90, 17:00 ,Group D,Giuseppe Meazza,Milan,Italy,Germany FR,1,1,Colombia, ,Tie,,,
19-Jun-90, 17:00 ,Group D,Renato Dall Ara,Bologna,Italy,Yugoslavia,4,1,United Arab Emirates, ,Yugoslavia,,,
19-Jun-90, 21:00 ,Group A,Stadio Olimpico,Rome,Italy,Italy,2,0,Czechoslovakia, ,Italy,,,
19-Jun-90, 21:00 ,Group A,Comunale,Florence,Italy,Austria,2,1,USA, ,Austria,,,
20-Jun-90, 21:00 ,Group C,Stadio delle Alpi,Turin,Italy,Brazil,1,0,Scotland, ,Brazil,,,
20-Jun-90, 21:00 ,Group C,Luigi Ferraris,Genoa,Italy,Sweden,1,2,Costa Rica, ,Costa Rica,,,
21-Jun-90, 17:00 ,Group E,Friuli,Udine,Italy,Korea Republic,0,1,Uruguay, ,Uruguay,,,
21-Jun-90, 17:00 ,Group E,Marc Antonio Bentegodi,Verona,Italy,Belgium,1,2,Spain, ,Spain,,,
21-Jun-90, 21:00 ,Group F,Della Favorita,Palermo,Italy,Republic of Ireland,1,1,Netherlands, ,Tie,,,
21-Jun-90, 21:00 ,Group F,Sant Elia,Cagliari,Italy,England,1,0,Egypt, ,England,,,
23-Jun-90, 17:00 ,Round of 16,San Paolo,Naples,Italy,Cameroon,2,1,Colombia,Cameroon win after extra time ,Cameroon,,,
23-Jun-90, 21:00 ,Round of 16,Stadio San Nicola,Bari,Italy,Czechoslovakia,4,1,Costa Rica, ,Czechoslovakia,,,
24-Jun-90, 17:00 ,Round of 16,Stadio delle Alpi,Turin,Italy,Brazil,0,1,Argentina, ,Argentina,,,
24-Jun-90, 21:00 ,Round of 16,Giuseppe Meazza,Milan,Italy,Germany FR,2,1,Netherlands, ,Germany FR,,,
25-Jun-90, 17:00 ,Round of 16,Luigi Ferraris,Genoa,Italy,Republic of Ireland,0,0,Romania,Republic of Ireland win on penalties (5 - 4) ,Tie,5,4,Republic of Ireland
25-Jun-90, 21:00 ,Round of 16,Stadio Olimpico,Rome,Italy,Italy,2,0,Uruguay, ,Italy,,,
26-Jun-90, 17:00 ,Round of 16,Marc Antonio Bentegodi,Verona,Italy,Spain,1,2,Yugoslavia,Yugoslavia win after extra time ,Yugoslavia,,,
26-Jun-90, 21:00 ,Round of 16,Renato Dall Ara,Bologna,Italy,England,1,0,Belgium,England win after extra time ,England,,,
30-Jun-90, 17:00 ,Quarter-finals,Comunale,Florence,Italy,Yugoslavia,0,0,Argentina, win on penalties (2 - 3) ,Tie,2,3,Argentina
30-Jun-90, 21:00 ,Quarter-finals,Stadio Olimpico,Rome,Italy,Italy,1,0,Republic of Ireland, ,Italy,,,
1-Jul-90, 17:00 ,Quarter-finals,Giuseppe Meazza,Milan,Italy,Germany FR,1,0,Czechoslovakia, ,Germany FR,,,
1-Jul-90, 21:00 ,Quarter-finals,San Paolo,Naples,Italy,England,3,2,Cameroon,England win after extra time ,England,,,
3-Jul-90, 20:00 ,Semi-finals,San Paolo,Naples,Italy,Italy,1,1,Argentina, win on penalties (3 - 4) ,Tie,3,4,Argentina
4-Jul-90, 20:00 ,Semi-finals,Stadio delle Alpi,Turin,Italy,Germany FR,1,1,England, win on penalties (4 - 3) ,Tie,4,3,Germany FR
7-Jul-90, 20:00 ,Match for third place,Stadio San Nicola,Bari,Italy,Italy,2,1,England, ,Italy,,,
8-Jul-90, 20:00 ,Final,Stadio Olimpico,Rome,Italy,Germany FR,1,0,Argentina, ,Germany FR,,,
17-Jun-94, 19:30 ,Group C,Cotton Bowl,Dallas,USA,Spain,2,2,Korea Republic, ,Tie,,,
17-Jun-94, 15:00 ,Group C,Soldier Field,Chicago,USA,Germany,1,0,Bolivia, ,Germany,,,
18-Jun-94, 11:30 ,Group A,Pontiac Silverdome,Detroit,USA,USA,1,1,Switzerland, ,Tie,,,
18-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,USA,Italy,0,1,Republic of Ireland, ,Republic of Ireland,,,
18-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles,USA,Colombia,1,3,Romania, ,Romania,,,
19-Jun-94, 12:30 ,Group F,Citrus Bowl,"Orlando, Florida",USA,Belgium,1,0,Morocco, ,Belgium,,,
19-Jun-94, 16:00 ,Group E,RFK Stadium,"Washington, D.C.",USA,Norway,1,0,Mexico, ,Norway,,,
19-Jun-94, 19:30 ,Group B,Rose Bowl,Los Angeles,USA,Cameroon,2,2,Sweden, ,Tie,,,
20-Jun-94, 19:30 ,Group F,RFK Stadium,"Washington, D.C.",USA,Netherlands,2,1,Saudi Arabia, ,Netherlands,,,
20-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco,USA,Brazil,2,0,Russia, ,Brazil,,,
21-Jun-94, 12:30 ,Group D,Foxboro Stadium,Boston,USA,Argentina,4,0,Greece, ,Argentina,,,
21-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas,USA,Nigeria,3,0,Bulgaria, ,Nigeria,,,
21-Jun-94, 16:00 ,Group C,Soldier Field,Chicago,USA,Germany,1,1,Spain, ,Tie,,,
22-Jun-94, 16:00 ,Group A,Pontiac Silverdome,Detroit,USA,Romania,1,4,Switzerland, ,Switzerland,,,
22-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles,USA,USA,2,1,Colombia, ,USA,,,
23-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,USA,Italy,1,0,Norway, ,Italy,,,
23-Jun-94, 19:30 ,Group C,Foxboro Stadium,Boston,USA,Korea Republic,0,0,Bolivia, ,Tie,,,
24-Jun-94, 12:30 ,Group E,Citrus Bowl,"Orlando, Florida",USA,Mexico,2,1,Republic of Ireland, ,Mexico,,,
24-Jun-94, 19:30 ,Group B,Pontiac Silverdome,Detroit,USA,Sweden,3,1,Russia, ,Sweden,,,
24-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco,USA,Brazil,3,0,Cameroon, ,Brazil,,,
25-Jun-94, 12:30 ,Group F,Citrus Bowl,"Orlando, Florida",USA,Belgium,1,0,Netherlands, ,Belgium,,,
25-Jun-94, 12:30 ,Group F,Giants Stadium,New York/New Jersey ,USA,Saudi Arabia,2,1,Morocco, ,Saudi Arabia,,,
25-Jun-94, 16:00 ,Group D,Foxboro Stadium,Boston,USA,Argentina,2,1,Nigeria, ,Argentina,,,
26-Jun-94, 12:30 ,Group D,Soldier Field,Chicago,USA,Bulgaria,4,0,Greece, ,Bulgaria,,,
26-Jun-94, 16:00 ,Group A,Rose Bowl,Los Angeles,USA,USA,0,1,Romania, ,Romania,,,
26-Jun-94, 16:00 ,Group A,Stanford Stadium,San Francisco,USA,Switzerland,0,2,Colombia, ,Colombia,,,
27-Jun-94, 16:00 ,Group C,Cotton Bowl,Dallas,USA,Germany,3,2,Korea Republic, ,Germany,,,
27-Jun-94, 16:00 ,Group C,Soldier Field,Chicago,USA,Bolivia,1,3,Spain, ,Spain,,,
28-Jun-94, 12:30 ,Group E,Giants Stadium,New York/New Jersey ,USA,Republic of Ireland,0,0,Norway, ,Tie,,,
28-Jun-94, 16:00 ,Group B,Pontiac Silverdome,Detroit,USA,Brazil,1,1,Sweden, ,Tie,,,
28-Jun-94, 12:30 ,Group E,RFK Stadium,"Washington, D.C.",USA,Italy,1,1,Mexico, ,Tie,,,
28-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco,USA,Russia,6,1,Cameroon, ,Russia,,,
29-Jun-94, 12:30 ,Group F,Citrus Bowl,"Orlando, Florida",USA,Morocco,1,2,Netherlands, ,Netherlands,,,
29-Jun-94, 12:30 ,Group F,RFK Stadium,"Washington, D.C.",USA,Belgium,0,1,Saudi Arabia, ,Saudi Arabia,,,
30-Jun-94, 19:30 ,Group D,Foxboro Stadium,Boston,USA,Greece,0,2,Nigeria, ,Nigeria,,,
30-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas,USA,Argentina,0,2,Bulgaria, ,Bulgaria,,,
2-Jul-94, 12:00 ,Round of 16,Soldier Field,Chicago,USA,Germany,3,2,Belgium, ,Germany,,,
2-Jul-94, 16:30 ,Round of 16,RFK Stadium,"Washington, D.C.",USA,Spain,3,0,Switzerland, ,Spain,,,
3-Jul-94, 12:00 ,Round of 16,Cotton Bowl,Dallas,USA,Saudi Arabia,1,3,Sweden, ,Sweden,,,
3-Jul-94, 13:30 ,Round of 16,Rose Bowl,Los Angeles,USA,Romania,3,2,Argentina, ,Romania,,,
4-Jul-94, 12:00 ,Round of 16,Citrus Bowl,"Orlando, Florida",USA,Netherlands,2,0,Republic of Ireland, ,Netherlands,,,
4-Jul-94, 12:30 ,Round of 16,Stanford Stadium,San Francisco,USA,Brazil,1,0,USA, ,Brazil,,,
5-Jul-94, 13:00 ,Round of 16,Foxboro Stadium,Boston,USA,Nigeria,1,2,Italy,Italy win after extra time ,Italy,,,
5-Jul-94, 16:30 ,Round of 16,Giants Stadium,New York/New Jersey ,USA,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3) ,Tie,1,3,Bulgaria
9-Jul-94, 12:00 ,Quarter-finals,Foxboro Stadium,Boston,USA,Italy,2,1,Spain, ,Italy,,,
9-Jul-94, 14:30 ,Quarter-finals,Cotton Bowl,Dallas,USA,Netherlands,2,3,Brazil, ,Brazil,,,
10-Jul-94, 12:00 ,Quarter-finals,Giants Stadium,New York/New Jersey ,USA,Bulgaria,2,1,Germany, ,Bulgaria,,,
10-Jul-94, 12:30 ,Quarter-finals,Stanford Stadium,San Francisco,USA,Romania,2,2,Sweden,Sweden win on penalties (4 - 5) ,Tie,4,5,Sweden
13-Jul-94, 16:00 ,Semi-finals,Giants Stadium,New York/New Jersey ,USA,Bulgaria,1,2,Italy, ,Italy,,,
13-Jul-94, 16:30 ,Semi-finals,Rose Bowl,Los Angeles,USA,Sweden,0,1,Brazil, ,Brazil,,,
16-Jul-94, 12:30 ,Match for third place,Rose Bowl,Los Angeles,USA,Sweden,4,0,Bulgaria, ,Sweden,,,
17-Jul-94, 12:30 ,Final,Rose Bowl,Los Angeles,USA,Brazil,0,0,Italy,Brazil win on penalties (3 - 2) ,Tie,3,2,Brazil
10-Jun-98, 17:30 ,Group A,Stade de France,"Saint-Denis, Seine-Saint-Denis",France,Brazil,2,1,Scotland, ,Brazil,,,
10-Jun-98, 21:00 ,Group A,La Mosson,Montpellier,France,Morocco,2,2,Norway, ,Tie,,,
